marca,modelo,año,kilometros,precio,pais
RENAULT,CLIO,2024,5000,27499,Francia
RENAULT,CLIO,2024,9990,25499,Francia
RENAULT,CLIO,2024,7000,26500,Francia
RENAULT,CLIO,2024,10,21390,Francia
RENAULT,CLIO,2024,2096,26999,Francia
RENAULT,CLIO,2024,10,22870,Francia
RENAULT,CLIO,2024,10,21390,Francia
RENAULT,CLIO,2024,4300,20300,Francia
RENAULT,CLIO,2023,11276,20499,Francia
RENAULT,CLIO,2024,9500,26499,Francia
RENAULT,CLIO,2024,9990,25499,Francia
RENAULT,CLIO,2023,6519,24595,Francia
RENAULT,CLIO,2024,10,21390,Francia
RENAULT,CLIO,2023,7442,25990,Francia
RENAULT,CLIO,2024,9855,24990,Francia
RENAULT,CLIO,2024,9990,26990,Francia
RENAULT,CLIO,2024,9000,22489,Francia
RENAULT,CLIO,2024,9000,24200,Francia
RENAULT,CLIO,2023,10000,25990,Francia
RENAULT,CLIO,2024,9000,22890,Francia
RENAULT,CLIO,2024,10,21390,Francia
RENAULT,CLIO,2024,10,21390,Francia
RENAULT,CLIO,2024,4786,27490,Francia
RENAULT,CLIO,2023,19500,22990,Francia
RENAULT,CLIO,2024,10,27980,Francia
RENAULT,CLIO,2024,10,20890,Francia
RENAULT,CLIO,2024,13547,24490,Francia
RENAULT,CLIO,2024,6500,27599,Francia
RENAULT,CLIO,2024,9000,26890,Francia
RENAULT,CLIO,2024,9000,25390,Francia
RENAULT,CLIO,2023,14599,27299,Francia
RENAULT,CLIO,2024,10,21390,Francia
RENAULT,CLIO,2023,12946,21999,Francia
RENAULT,CLIO,2024,30,23700,Francia
OPEL,CORSA,2022,19280,14975,Francia
OPEL,CORSA,2022,10,21980,Francia
OPEL,CORSA,2021,33950,16788,Francia
OPEL,CORSA,2021,43757,15999,Francia
OPEL,CORSA,2021,33950,16788,Francia
OPEL,CORSA,2022,10,19980,Francia
OPEL,CORSA,2022,10,21980,Francia
OPEL,CORSA,2022,10,19980,Francia
OPEL,CORSA,2021,52318,15490,Francia
OPEL,CORSA,2021,80530,12888,Francia
OPEL,CORSA,2021,43990,13490,Francia
OPEL,CORSA,2022,65720,13190,Francia
OPEL,CORSA,2022,43500,14990,Francia
OPEL,CORSA,2022,26117,18990,Francia
OPEL,CORSA,2022,27921,18990,Francia
OPEL,CORSA,2022,5,20900,Francia
OPEL,CORSA,2022,56380,14499,Francia
OPEL,CORSA,2021,13171,17999,Francia
OPEL,CORSA,2021,22748,17499,Francia
OPEL,CORSA,2022,22500,18990,Francia
OPEL,CORSA,2023,17612,18990,Francia
OPEL,CORSA,2022,10,21980,Francia
OPEL,CORSA,2022,10,22980,Francia
OPEL,CORSA,2021,34603,16499,Francia
OPEL,CORSA,2022,14057,15990,Francia
OPEL,CORSA,2022,16541,15990,Francia
OPEL,CORSA,2021,9700,18000,Francia
OPEL,CORSA,2023,13539,18990,Francia
OPEL,CORSA,2022,10,19980,Francia
OPEL,CORSA,2022,10,19980,Francia
OPEL,CORSA,2023,7000,21499,Francia
OPEL,CORSA,2023,13562,19990,Francia
SEAT,IBIZA,2023,20546,20450,Francia
SEAT,IBIZA,2023,22134,17190,Francia
SEAT,IBIZA,2022,26400,17450,Francia
SEAT,IBIZA,2024,11225,21590,Francia
SEAT,IBIZA,2024,10000,23299,Francia
SEAT,IBIZA,2024,7869,21590,Francia
SEAT,IBIZA,2024,6665,23499,Francia
SEAT,IBIZA,2024,10,22842,Francia
SEAT,IBIZA,2024,17000,17000,Francia
SEAT,IBIZA,2022,36000,20000,Francia
SEAT,IBIZA,2021,54000,18490,Francia
SEAT,IBIZA,2022,15200,22490,Francia
SEAT,IBIZA,2023,17240,17990,Francia
SEAT,IBIZA,2024,9,20980,Francia
SEAT,IBIZA,2021,43364,16990,Francia
SEAT,IBIZA,2023,22616,17950,Francia
SEAT,IBIZA,2024,10,18980,Francia
SEAT,IBIZA,2024,3300,22900,Francia
SEAT,IBIZA,2022,19000,19890,Francia
SEAT,IBIZA,2024,3000,21480,Francia
SEAT,IBIZA,2021,38449,16999,Francia
SEAT,IBIZA,2024,10,18980,Francia
SEAT,IBIZA,2023,21405,17950,Francia
SEAT,IBIZA,2023,31800,19790,Francia
SEAT,IBIZA,2024,6000,21080,Francia
SEAT,IBIZA,2024,5,20980,Francia
SEAT,IBIZA,2021,55650,15950,Francia
SEAT,IBIZA,2024,10332,20990,Francia
SEAT,IBIZA,2024,10,22990,Francia
SEAT,IBIZA,2024,24427,19690,Francia
SEAT,IBIZA,2024,18531,21890,Francia
SEAT,IBIZA,2023,12377,21490,Francia
SEAT,IBIZA,2024,10,20450,Francia
SEAT,IBIZA,2022,186,23088,Francia
SEAT,IBIZA,2024,10,23562,Francia
SEAT,IBIZA,2022,6045,22900,Francia
SEAT,IBIZA,2024,10,22990,Francia
SEAT,IBIZA,2023,13235,17236,Francia
SEAT,IBIZA,2021,47000,21990,Francia
