marca,modelo,año,kilometros,precio,pais
RENAULT,CLIO,2023,9100,17990,Alemania
RENAULT,CLIO,2023,5362,18980,Alemania
RENAULT,CLIO,2023,8900,19480,Alemania
RENAULT,CLIO,2023,5450,19780,Alemania
RENAULT,CLIO,2024,5,19890,Alemania
RENAULT,CLIO,2024,10,19890,Alemania
RENAULT,CLIO,2024,5,19890,Alemania
RENAULT,CLIO,2023,3562,19950,Alemania
RENAULT,CLIO,2024,4500,19980,Alemania
RENAULT,CLIO,2024,2598,19980,Alemania
RENAULT,CLIO,2023,8000,19980,Alemania
RENAULT,CLIO,2024,9900,19990,Alemania
RENAULT,CLIO,2023,9934,19997,Alemania
RENAULT,CLIO,2024,100,20290,Alemania
RENAULT,CLIO,2023,10990,20490,Alemania
RENAULT,CLIO,2024,1500,20790,Alemania
RENAULT,CLIO,2024,10,20890,Alemania
RENAULT,CLIO,2024,100,20890,Alemania
RENAULT,CLIO,2024,100,20890,Alemania
RENAULT,CLIO,2024,100,20890,Alemania
RENAULT,CLIO,2024,100,20890,Alemania
RENAULT,CLIO,2023,8532,20939,Alemania
RENAULT,CLIO,2024,50,20980,Alemania
RENAULT,CLIO,2023,5148,20990,Alemania
RENAULT,CLIO,2023,5047,20990,Alemania
RENAULT,CLIO,2024,50,21250,Alemania
RENAULT,CLIO,2024,20,21490,Alemania
RENAULT,CLIO,2024,5,21490,Alemania
RENAULT,CLIO,2023,3950,21650,Alemania
RENAULT,CLIO,2024,50,21700,Alemania
RENAULT,CLIO,2024,50,21750,Alemania
RENAULT,CLIO,2024,3000,21775,Alemania
RENAULT,CLIO,2024,2500,21800,Alemania
RENAULT,CLIO,2024,100,21880,Alemania
RENAULT,CLIO,2024,60,21890,Alemania
RENAULT,CLIO,2023,9492,21900,Alemania
RENAULT,CLIO,2023,7027,21900,Alemania
RENAULT,CLIO,2024,1010,21900,Alemania
SEAT,IBIZA ,2022,92000,12990,Alemania
SEAT,IBIZA ,2021,68288,13121,Alemania
SEAT,IBIZA ,2021,52000,13550,Alemania
SEAT,IBIZA ,2021,45000,13890,Alemania
SEAT,IBIZA ,2022,40099,14400,Alemania
SEAT,IBIZA ,2021,66000,14500,Alemania
SEAT, IBIZA,2021,30200,14600,Alemania
SEAT,IBIZA ,2021,30041,14900,Alemania
SEAT,IBIZA ,2021,27532,15180,Alemania
SEAT,IBIZA ,2023,24882,15450,Alemania
SEAT,IBIZA ,2021,57627,15999,Alemania
SEAT,IBIZA ,2022,17900,16000,Alemania
SEAT,IBIZA ,2023,40279,16450,Alemania
SEAT,IBIZA ,2023,26084,16450,Alemania
SEAT,IBIZA ,2021,57627,16499,Alemania
SEAT,IBIZA ,2021,39100,16500,Alemania
SEAT,IBIZA ,2021,39100,16500,Alemania
SEAT,IBIZA ,2021,42300,16800,Alemania
SEAT,IBIZA ,2023,16500,16900,Alemania
SEAT,IBIZA ,2023,21300,16900,Alemania
SEAT,IBIZA ,2023,21081,17250,Alemania
SEAT,IBIZA ,2023,13000,17400,Alemania
SEAT,IBIZA ,2022,56700,17500,Alemania
SEAT,IBIZA ,2023,28697,17500,Alemania
SEAT,IBIZA ,2023,21691,17750,Alemania
SEAT,IBIZA ,2023,22665,17750,Alemania
SEAT,IBIZA ,2023,21733,17950,Alemania
SEAT,IBIZA ,2023,23321,17950,Alemania
SEAT,IBIZA ,2023,24586,17950,Alemania
SEAT,IBIZA ,2023,19973,17950,Alemania
SEAT,IBIZA ,2022,31300,18100,Alemania
SEAT,IBIZA ,2023,11467,18450,Alemania
SEAT,IBIZA ,2021,23500,18850,Alemania
SEAT,IBIZA ,2021,55263,18900,Alemania
SEAT,IBIZA ,2024,19626,18970,Alemania
SEAT,IBIZA ,2021,47387,18999,Alemania
SEAT,IBIZA ,2021,47387,18999,Alemania
SEAT,IBIZA ,2023,1,20900,Alemania
SEAT,IBIZA ,2024,100,22000,Alemania
SEAT,IBIZA ,2023,5000,22500,Alemania
SEAT,IBIZA ,2023,3000,22500,Alemania
SEAT,IBIZA ,2024,10,22990,Alemania
SEAT,IBIZA ,2024,10,25990,Alemania
VOLKSWAGEN,POLO,2021,99408,13450,Alemania
VOLKSWAGEN,POLO,2021,84100,13900,Alemania
VOLKSWAGEN,NAN,2021,62000,14900,Alemania
VOLKSWAGEN,POLO,2021,62000,14990,Alemania
VOLKSWAGEN,POLO,2021,58635,15990,Alemania
VOLKSWAGEN,POLO,2021,58635,15990,Alemania
VOLKSWAGEN,POLO,2021,31158,16645,Alemania
VOLKSWAGEN,POLO,2021,39458,16650,Alemania
VOLKSWAGEN,POLO,2021,47262,16840,Alemania
VOLKSWAGEN,POLO,2021,36708,16930,Alemania
VOLKSWAGEN,POLO,2021,37028,17450,Alemania
VOLKSWAGEN,POLO,2021,41867,17450,Alemania
VOLKSWAGEN,POLO,2021,24399,17480,Alemania
VOLKSWAGEN,POLO,2021,32150,17790,Alemania
VOLKSWAGEN,POLO,2022,48987,17880,Alemania
VOLKSWAGEN,POLO,2021,87355,17890,Alemania
VOLKSWAGEN,POLO,2021,53705,17900,Alemania
VOLKSWAGEN,POLO,2021,58700,17900,Alemania
VOLKSWAGEN,POLO,2021,9302,17950,Alemania
VOLKSWAGEN,POLO,2021,62130,17980,Alemania
VOLKSWAGEN,POLO,2021,55819,17990,Alemania
VOLKSWAGEN,POLO,2021,55114,17990,Alemania
VOLKSWAGEN,POLO,2021,17000,17999,Alemania
VOLKSWAGEN,POLO,2021,44569,18380,Alemania
VOLKSWAGEN,POLO,2021,46800,18450,Alemania
VOLKSWAGEN,POLO,2021,71539,18490,Alemania
VOLKSWAGEN,POLO,2021,52184,18600,Alemania
VOLKSWAGEN,POLO,2021,14086,18640,Alemania
VOLKSWAGEN,POLO,2021,29300,18690,Alemania
VOLKSWAGEN,POLO,2021,35550,18743,Alemania
VOLKSWAGEN,POLO,2023,25100,18789,Alemania
VOLKSWAGEN,POLO,2023,25100,18789,Alemania
VOLKSWAGEN,POLO,2023,25100,18789,Alemania
VOLKSWAGEN,POLO,2021,81450,18850,Alemania
VOLKSWAGEN,POLO,2021,51000,18850,Alemania
VOLKSWAGEN,POLO,2021,51000,18850,Alemania
VOLKSWAGEN,POLO,2021,40195,18880,Alemania
VOLKSWAGEN,POLO,2021,37662,18890,Alemania
VOLKSWAGEN,POLO,2021,38800,18900,Alemania
VOLKSWAGEN,POLO,2021,72457,18930,Alemania
VOLKSWAGEN,POLO,2021,65515,18945,Alemania
VOLKSWAGEN,POLO,2021,29000,18950,Alemania
VOLKSWAGEN,POLO,2021,18750,18970,Alemania
VOLKSWAGEN,POLO,2021,49979,18988,Alemania
VOLKSWAGEN,POLO,2023,12500,19390,Alemania
VOLKSWAGEN,POLO,2021,13600,19450,Alemania
HYUNDAI,I20,2021,89359,16687,Alemania
HYUNDAI,I20,2022,69990,16990,Alemania
HYUNDAI,I20,2022,2217,17490,Alemania
HYUNDAI,I20,2024,25,17750,Alemania
HYUNDAI,I20,2024,25,17950,Alemania
HYUNDAI,I20,2021,26000,17990,Alemania
HYUNDAI,I20,2024,10,18488,Alemania
HYUNDAI,I20,2023,26344,18490,Alemania
HYUNDAI,I20,2021,7200,18600,Alemania
HYUNDAI,I20,2022,31700,18888,Alemania
HYUNDAI,I20,2022,27431,18900,Alemania
HYUNDAI,I20,2021,12949,18970,Alemania
HYUNDAI,I20,2022,28500,18980,Alemania
HYUNDAI,I20,2024,10,18988,Alemania
HYUNDAI,I20,2024,10,18988,Alemania
HYUNDAI,I20,2024,10,18988,Alemania
HYUNDAI,I20,2024,10,18988,Alemania
HYUNDAI,I20,2024,10,18988,Alemania
HYUNDAI,I20,2022,18461,18990,Alemania
HYUNDAI,I20,2024,10,19488,Alemania
HYUNDAI,I20,2024,11,19700,Alemania
HYUNDAI,I20,2024,10,19802,Alemania
HYUNDAI,I20,2024,10,19888,Alemania
HYUNDAI,I20,2022,8684,19950,Alemania
HYUNDAI,I20,2021,23631,19950,Alemania
HYUNDAI,I20,2021,52325,19980,Alemania
HYUNDAI,I20,2023,9800,19990,Alemania
HYUNDAI,I20,2023,9800,19990,Alemania
HYUNDAI,I20,2023,45,19990,Alemania
HYUNDAI,I20,2024,10,20284,Alemania
HYUNDAI,I20,2024,10,20288,Alemania
HYUNDAI,I20,2024,10,20488,Alemania
HYUNDAI,I20,2024,10,20488,Alemania
HYUNDAI,I20,2024,10,20488,Alemania
HYUNDAI,I20,2024,10,20488,Alemania
HYUNDAI,I20,2024,10,20488,Alemania
HYUNDAI,I20,2024,20,20740,Alemania
HYUNDAI,I20,2024,20,20740,Alemania
HYUNDAI,I20,2024,20,20740,Alemania
HYUNDAI,I20,2024,20,20740,Alemania
HYUNDAI,I20,2024,20,20750,Alemania
HYUNDAI,I20,2024,10,20848,Alemania
HYUNDAI,I20,2024,10,20848,Alemania
HYUNDAI,I20,2024,10,20848,Alemania
HYUNDAI,I20,2024,10,20848,Alemania
TOYOTA,YARIS,2022,34500,21490,Alemania
TOYOTA,YARIS,2023,32689,22900,Alemania
TOYOTA,YARIS,2023,19185,22920,Alemania
TOYOTA,YARIS,2022,23244,22950,Alemania
TOYOTA,YARIS,2022,23800,23450,Alemania
TOYOTA,YARIS,2023,16930,23500,Alemania
TOYOTA,YARIS,2023,9300,23990,Alemania
TOYOTA,YARIS,2023,14600,23990,Alemania
TOYOTA,YARIS,2022,24500,23990,Alemania
TOYOTA,YARIS,2022,37100,24500,Alemania
TOYOTA,YARIS,2022,24942,24500,Alemania
TOYOTA,YARIS,2022,24942,24500,Alemania
TOYOTA,YARIS,2022,37100,24500,Alemania
TOYOTA,YARIS,2022,9231,24500,Alemania
TOYOTA,YARIS,2022,14229,24699,Alemania
TOYOTA,YARIS,2022,26000,24900,Alemania
TOYOTA,YARIS,2022,11582,25250,Alemania
