marca,modelo,año,kilometros,precio,pais
OPEL,CORSA,2022,49686,15800,Holanda
OPEL,CORSA,2024,3329,19950,Holanda
OPEL,CORSA,2024,6774,19950,Holanda
OPEL,CORSA,2023,19347,21950,Holanda
OPEL,CORSA,2023,45870,18900,Holanda
OPEL,CORSA,2021,59491,18500,Holanda
OPEL,CORSA,2021,48644,14950,Holanda
OPEL,CORSA,2021,55000,14950,Holanda
OPEL,CORSA,2023,24981,16900,Holanda
OPEL,CORSA,2022,98288,14750,Holanda
OPEL,CORSA,2021,71177,14450,Holanda
OPEL,CORSA,2022,25000,17900,Holanda
OPEL,CORSA,2022,52577,15945,Holanda
OPEL,CORSA,2021,23561,15950,Holanda
OPEL,CORSA,2022,35533,17400,Holanda
OPEL,CORSA,2021,52147,15940,Holanda
OPEL,CORSA,2023,11602,16990,Holanda
OPEL,CORSA,2021,36017,16995,Holanda
OPEL,CORSA,2023,11870,17345,Holanda
OPEL,CORSA,2021,71111,15345,Holanda
OPEL,CORSA,2022,31984,20950,Holanda
OPEL,CORSA,2021,32748,16999,Holanda
OPEL,CORSA,2021,59400,14950,Holanda
OPEL,CORSA,2023,21957,16895,Holanda
OPEL,CORSA,2023,9334,17345,Holanda
OPEL,CORSA,2022,20000,16445,Holanda
OPEL,CORSA,2022,11240,16445,Holanda
OPEL,CORSA,2021,37077,15950,Holanda
OPEL,CORSA,2021,49630,17780,Holanda
OPEL,CORSA,2021,109344,13950,Holanda
OPEL,CORSA,2021,59521,15893,Holanda
OPEL,CORSA,2022,42952,16425,Holanda
OPEL,CORSA,2022,32368,16440,Holanda
OPEL,CORSA,2022,26686,16445,Holanda
OPEL,CORSA,2023,12923,18390,Holanda
OPEL,CORSA,2021,79914,15445,Holanda
OPEL,CORSA,2021,40293,15900,Holanda
OPEL,CORSA,2022,53628,16900,Holanda
OPEL,CORSA,2024,11225,21250,Holanda
OPEL,CORSA,2021,16910,19995,Holanda
OPEL,CORSA,2023,41706,17495,Holanda
OPEL,CORSA,2023,4994,21950,Holanda
OPEL,CORSA,2023,51208,17390,Holanda
OPEL,CORSA,2021,43592,16400,Holanda
OPEL,CORSA,2022,27493,17950,Holanda
OPEL,CORSA,2021,39419,19950,Holanda
OPEL,CORSA,2024,13196,19940,Holanda
OPEL,CORSA,2021,34431,17945,Holanda
OPEL,CORSA,2023,21507,19825,Holanda
OPEL,CORSA,2022,25031,21490,Holanda
OPEL,CORSA,2022,52107,16900,Holanda
OPEL,CORSA,2024,14293,21495,Holanda
OPEL,CORSA,2022,58522,20940,Holanda
OPEL,CORSA,2022,55066,17245,Holanda
OPEL,CORSA,2023,12692,21849,Holanda
OPEL,CORSA,2022,64058,16490,Holanda
OPEL,CORSA,2022,13637,17950,Holanda
OPEL,CORSA,2023,26179,17495,Holanda
OPEL,CORSA,2023,27882,17495,Holanda
OPEL,CORSA,2024,18510,21495,Holanda
OPEL,CORSA,2022,25752,17940,Holanda
OPEL,CORSA,2022,20815,20877,Holanda
OPEL,CORSA,2021,62691,16649,Holanda
OPEL,CORSA,2023,7443,19745,Holanda
