marca,modelo,año,kilometros,precio
SEAT,Ibiza 1.0 TSI S&S FR110,2021,73.744 km,17.990 €
SEAT,Ibiza 1.0 TSI 110CV FR,2021,73.982 km,14.600 €
SEAT,Ibiza 1.0 TSI 110CV FR,2022,56.468 km,16.450 €
SEAT,Ibiza 1.0 TSI 110cv FR,2023,15.180 km,19.500 €
SEAT,Ibiza 1.0 TSI FR XL,2023,20.677 km,18.399 €
SEAT,Ibiza 1.0 TSI 110CV FR,2021,70.020 km,15.100 €
SEAT,Ibiza 1.0 TSI FR XL,2023,20.677 km,18.399 €
SEAT,Ibiza 1.0 TSI 110CV FR,2023,19.678 km,18.500 €
SEAT,Ibiza 1.5 TSI ACT FR Plus,2021,41.666 km,21.699 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR,2023,14.039 km,19.390 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR,Demo,Gasolina,18.790 €
SEAT,Ibiza 1.0 TSI 110CV FR DSG,2021,56.192 km,15.350 € -9%
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR,2023,18.200 km,18.690 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR,2022,39.500 km,17.900 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR,2022,53.556 km,17.490 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR,2023,53.418 km,18.490 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR,2022,53.556 km,17.490 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR,2023,53.418 km,18.490 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR,2023,13.500 km,22.790 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR,2021,32.394 km,18.990 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR XS,2023,10.260 km,17.950 €
SEAT,Ibiza 1.0 TSI 85kW (115CV) FR Go,2021,80.000 km,17.480 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR XS,2023,23.807 km,17.900 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR XS,2023,15.012 km,17.900 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR XS,2023,11.100 km,17.900 €
SEAT,Ibiza 1.0 TSI 85kW (115CV) FR XL,2024,8.000 km,18.490 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR Go,2021,73.262 km,14.990 €
SEAT,Ibiza 1.0 TSI 81kW (110CV) FR XL,2024,1.100 km,20.990 € -7%
SEAT,Ibiza 1.0 TGI 66KW 90CV FR,2021,44.000 km,18.975 €
