marca,modelo,año,kilometros,precio
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine - 24,2024,5 000 km,27.499
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine,2024,9 990 km,25.499
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine - 24,2024,7 000 km,26.500
Renault,Clio V (2) 1.0 TCE 90 ESPRIT ALPINE,2024,10 km,21.390
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine,2024,2 096 km,26.999
Renault,Clio 1.0 TCE 90CH ESPRIT ALPINE - 24,2024,10 km,22.870
Renault,Clio V (2) 1.0 TCE 90 ESPRIT ALPINE,2024,10 km,21.390
Renault,Clio 1.6 E-Tech Hybride 145 esprit Alpine,2024,4 300 km,20.300
Renault,Clio 1.0 TCe 90ch esprit Alpine,2023,11 276 km,20.499
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine - 24,2024,9 500 km,26.499
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine - 24,2024,9 990 km,25.499
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine,2023,6 519 km,24.595
Renault,Clio V (2) 1.0 TCE 90 ESPRIT ALPINE,2024,10 km,21.390
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine,2023,7 442 km,25.990
Renault,Clio V E-Tech full hybrid 145 Esprit Alpine,2024,9 855 km,24.990
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine - 24,2024,9 990 km,26.990
Renault,Clio 1.0 TCe 90ch esprit Alpine - 24,2024,9 000 km,22.489
Renault,Clio 1.0 TCe 90ch esprit Alpine,2024,9 000 km,24.200
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine,2023,10 000 km,25.990
Renault,Clio 1.0 TCe 90ch esprit Alpine - 24,2024,9 000 km,22.890
Renault,Clio V (2) 1.0 TCE 90 ESPRIT ALPINE,2024,10 km,21.390
Renault,Clio V (2) 1.0 TCE 90 ESPRIT ALPINE,2024,10 km,21.390
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine,2024,4 786 km,27.490
Renault,Clio 1.6 E-Tech 145 Hybride BVA Esprit Alpine,2023,19 500 km,22.990
Renault,Clio V E-Tech full hybrid 145 GSR2 Esprit Alpine,2024,10 km,27.980
Renault,Clio V (2) 1.0 TCE 90 ESPRIT ALPINE,2024,10 km,20.890
Renault,Clio V 1.6 E-TECH FULL HYBRID 145 ESPRIT ALPINE,2024,13 547 km,24.490
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine - 24,2024,6 500 km,27.599
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine - 24,2024,9 000 km,26.890
Renault,Clio 1.6 E-Tech 145ch full hybrid esprit Alpine - 24,2024,9 000 km,25.390
Renault,Clio 1.6 E-Tech Full Hybrid 145 esprit Alpine,2023,14 599 km,27.299
Renault,Clio V (2) 1.0 TCE 90 ESPRIT ALPINE,2024,10 km,21.390
Renault,Clio 1.0 TCe 90ch esprit Alpine,2023,12 946 km,21.999
Renault,Clio 1.0 TCE 90CH ESPRIT ALPINE - 24,2024,30 km,23.700
Opel,Corsa 1.2 TURBO 100 GS LINE 5P,2022,19 280 km,14.975
Opel,Corsa GS LINE - 1.2i TURBO - 130 S\u0026S - BVA,2022,10 km,21.980
Opel,Corsa F 1.2T 100 Aut GS-Line+ Park&Go 17Z,2021,33 950 km,16.788
Opel,Corsa 1.2 Turbo 100ch GS Line BVA,2021,43 757 km,15.999
Opel,Corsa F 1.2T 100 Aut GS-Line+ Park&Go 17Z,2021,33 950 km,16.788
Opel,Corsa 1.2i TURBO 100 S\u0026S GS LINE + CAMERA + MIRRO,2022,10 km,19.980
Opel,Corsa 1.2i Turbo - 100 S\u0026S GS Line + CAMERA + MI,2022,10 km,21.980
Opel,Corsa 1.2i Turbo - 100 S\u0026S GS Line + CAMERA + MI,2022,10 km,19.980
Opel,Corsa GS LINE CDTI 102,2021,52 318 km,15.490
Opel,Corsa GS Line / GPS,2021,80 530 km,12.888
Opel,Corsa GS LINE - 1.2i Turbo - 100cv | FULL BLACK | DIGITA,2021,43 990 km,13.490
Opel,Corsa 1.2 Turbo GS Line 5P 100 ch,2022,65 720 km,13.190
Opel,Corsa 130 bv8 Gs line Matrix led aide à la conduite,2022,43 500 km,14.990
Opel,Corsa GS Line ***24 MOIS DE GARANTIE***,2022,26 117 km,18.990
Opel,Corsa GS LINE ***24 MOIS DE GARANTIE***,2022,27 921 km,18.990
Opel,Corsa 1.2 PURETECH 130 EAT8 GS LINE,2022,5 km,20.900
Opel,Corsa 1.2 Turbo 100ch GS Line,2022,56 380 km,14.499
Opel,Corsa 1.2 Turbo 130ch GS Line BVA,2021,13 171 km,17.999
Opel,Corsa 1.2 Turbo 130ch GS Line BVA,2021,22 748 km,17.499
Opel,Corsa 1.2 TURBO 130CH GS LINE BVA,2022,22 500 km,18.990
Opel,Corsa GS-Line 1.2 Turbo Aut. ** Carplay LED DAB,2023,17 612 km,18.990
Opel,Corsa GS Line - 1.2i Turbo - 130 S\u0026S - BVA,2022,10 km,21.980
Opel,Corsa GS Line - 1.2i Turbo - 130 S\u0026S - BVA,2022,10 km,22.980
Opel,Corsa 1.5 D 100ch GS Line Camera,2021,34 603 km,16.499
Opel,Corsa GS LINE 1.2 100CH BVM6,2022,14 057 km,15.990
Opel,Corsa GS LINE 1.2 100CH BVM6,2022,16 541 km,15.990
Opel,Corsa CORSA GS LINE 1.2 TURBO 100 EAT8 FULL EQUIP.,2021,9 700 km,18.000
Opel,Corsa GS-Line 1.2 Turbo Aut. **,2023,13 539 km,18.990
Opel,Corsa 1.2i TURBO 100 S\u0026S GS LINE + CAMERA + MIRROR,2022,10 km,19.980
Opel,Corsa 1.2i TURBO 100 S\u0026S GS LINE + CAMERA + MIRROR,2022,10 km,19.980
Opel,Corsa 1.2 Turbo 100ch GS Line,2023,7 000 km,21.499
Opel,Corsa GS Line ***24 MOIS DE GARANTIE***,2023,13 562 km,19.990
SEAT,Ibiza FR,2023,20 546 km,20.450
SEAT,Ibiza 1.0 EcoTSI FR 110 ch,2023,22 134 km,17.190
SEAT,Ibiza -29% 1.0 TSI 110cv FR +GPS+CAM+FULL LED+Options,2022,26 400 km,17.450
SEAT,Ibiza 1.0 EcoTSI 115 ch S/S DSG7 FR,2024,11 225 km,21.590
SEAT,Ibiza 1.0 TSI 115ch FR DSG7,2024,10 000 km,23.299
SEAT,Ibiza 1.0 EcoTSI 115 ch S/S DSG7 FR,2024,7 869 km,21.590
SEAT,Ibiza 1.0 TSI 115ch FR DSG7,2024,6 665 km,23.499
SEAT,Ibiza 1.0 EcoTSI 110 ch S BVM6 FR,2024,10 km,22.842
SEAT,Ibiza 1.0 EcoTSI 115 ch S/S BVM6 FR,2024,17 000 km,17.000
SEAT,Ibiza 1.0 TSI 110 ch S/S DSG7 FR Xclusive,2022,36 000 km,20.000
SEAT,Ibiza 1.5 TSI 150 DSG7 FR,2021,54 000 km,18.490
SEAT,Ibiza 1.5 TSI 150ch FR ACT DSG7,2022,15 200 km,22.490
SEAT,Ibiza 1.0 TSI FR *CAMERA*GPS*COCKPIT VIEW*,2023,17 240 km,17.990
SEAT,Ibiza 1.0 TSI 115 FR LED GPS ACC CAMERA JA16,2024,9 km,20.980
SEAT,Ibiza 1.0 EcoTSI 110ch FR DSG7,2021,43 364 km,16.990
SEAT,Ibiza -27% 1.0 TSI 110cv FR +GPS+CAM+FULL LED+Options,2023,22 616 km,17.950
SEAT,Ibiza 1.0 TSI 115CH FR,2024,10 km,18.980
SEAT,Ibiza V 1.5 TSI 150Ch FR DSG7,2024,3 300 km,22.900
SEAT,Ibiza 1.0 TSI 110CH FR XCLUSIVE DSG BVA,2022,19 000 km,19.890
SEAT,Ibiza 1.0 TSI 115 DSG FR,2024,3 000 km,21.480
SEAT,Ibiza 1.0 EcoTSI 110ch Start/Stop FR,2021,38 449 km,16.999
SEAT,Ibiza 1.0 TSI 115CH FR,2024,10 km,18.980
SEAT,Ibiza -27% 1.0 TSI 110cv FR +GPS+CAM+FULL LED+Options,2023,21 405 km,17.950
SEAT,Ibiza FR,2023,31 800 km,19.790
SEAT,Ibiza 1.0 TSI 115 DSG FR,2024,6 000 km,21.080
SEAT,Ibiza 1.0 TSI 115 FR LED GPS ACC CAMERA JA16,2024,5 km,20.980
SEAT,Ibiza 1.0 TSI FR OPF (EURO 6d),2021,55 650 km,15.950
