marca,modelo,año,kilometros,precio
Seat,Ibiza 1.0 TSI S&S FR XL (110 CV),2023,27.045 Km,18.628€
Seat,Ibiza 1.0 TSI FR XM (110 CV),2023,32.732 Km,18.628€
Seat,Ibiza 1.0 TSI S&S FR XL (110 CV),2023,2.034 Km,19.728€
Seat,Ibiza 1.0 TSI FR Go2 (110 CV),2021,53.536 Km,15.637€
Seat,Ibiza 1.0 TSI FR Go2 (110 CV),2021,73.744 Km,16.354€
Opel,Corsa 1.2T XHT (130CV) GS-Line Auto,2023,23.192 Km,16.864€
Opel,Corsa 1.2T XHT (130CV) GS-Line Auto,2023,32.658 Km,16.773€
Opel,Corsa 1.2 Turbo XHT GS-Line Auto (130 CV),2022,42.135 Km,15.991€
Opel,Corsa 1.2 Turbo XHT GS-Line Auto (130 CV),2023,21.226 Km,16.809€
Volkswagen,Polo R-Line 1.0 TSI (95 CV),2022,55.976 Km,16.264€
Volkswagen,Polo R-Line 1.0 TSI (110 CV) DSG,2023,72.884 Km,18.864€
Volkswagen,Polo R-Line 1.0 TSI (110 CV) DSG,2021,64.270 Km,19.363€
Volkswagen,Polo R-Line 1.0 TSI (110 CV),2021,28.473 Km,17.264€
